,milage,action,milage_bin,next_milage_bin
1282,7,0,0,0
1283,19,0,0,1
1284,26,0,1,1
1285,32,0,1,1
1286,42,0,1,2
1287,51,0,2,2
1288,62,0,2,3
1289,70,0,3,3
1290,81,0,3,4
1291,95,0,4,4
1292,102,0,4,0
1294,7,0,0,0
1295,20,0,0,1
1296,36,0,1,0
1298,20,0,0,1
1299,33,0,1,1
1300,38,0,1,1
1301,40,0,1,2
1302,54,0,2,3
1303,69,0,3,3
1304,76,0,3,3
1305,86,0,3,4
1306,96,0,4,4
1307,105,0,4,5
1308,116,0,5,0
1310,18,0,0,1
1311,26,0,1,1
1312,31,0,1,2
1313,45,0,2,2
1314,57,0,2,3
1315,75,0,3,3
1316,78,0,3,3
1317,82,0,3,4
1318,90,0,4,4
1319,98,0,4,4
1320,100,0,4,4
1321,100,0,4,4
1322,105,0,4,5
1323,121,0,5,0
1325,7,0,0,0
1326,11,0,0,0
1327,19,0,0,1
1328,28,0,1,1
1329,38,0,1,2
1330,47,0,2,2
1331,63,0,2,0
1333,13,0,0,0
1334,19,0,0,1
1335,29,0,1,1
1336,43,0,1,2
1337,65,0,2,2
1338,66,0,2,3
1339,72,0,3,3
1340,85,0,3,4
1341,96,0,4,4
1342,101,0,4,0
1344,16,0,0,0
1345,21,0,0,1
1346,35,0,1,1
1347,41,0,1,2
1348,56,0,2,2
1349,64,0,2,3
1350,70,0,3,3
1351,73,0,3,3
1352,84,0,3,4
1353,97,0,4,4
1354,106,0,4,5
1355,112,0,5,5
1356,118,0,5,6
1357,134,0,6,6
1358,139,0,6,6
1359,148,0,6,7
1360,157,0,7,7
1361,166,0,7,7
1362,175,0,7,8
1363,189,0,8,0
1365,17,0,0,1
1366,33,0,1,2
1367,46,0,2,2
1368,50,0,2,3
1369,70,0,3,3
1370,81,0,3,3
1371,86,0,3,4
1372,92,0,4,4
1373,97,0,4,4
1374,105,0,4,5
1375,123,0,5,5
1376,131,0,5,0
1378,13,0,0,0
1379,18,0,0,1
1380,33,0,1,1
1381,42,0,1,2
1382,53,0,2,2
1383,58,0,2,2
1384,66,0,2,3
1385,78,0,3,3
1386,82,0,3,0
1388,11,0,0,0
1389,18,0,0,1
1390,32,0,1,1
1391,43,0,1,2
1392,54,0,2,2
1393,66,0,2,3
1394,82,0,3,3
1395,86,0,3,4
1396,95,0,4,4
1397,104,0,4,5
1398,111,0,5,0
1400,19,0,0,1
1401,23,0,1,1
1402,33,0,1,1
1403,43,0,1,2
1404,52,0,2,3
1405,69,0,3,3
1406,85,0,3,4
1407,91,0,4,4
1408,101,0,4,0
1410,3,0,0,0
1411,10,0,0,0
1412,21,0,0,1
1413,33,0,1,1
1414,43,0,1,2
1415,59,0,2,2
1416,66,0,2,3
1417,75,0,3,3
1418,85,0,3,0
1420,9,0,0,1
1421,27,0,1,1
1422,34,0,1,1
1423,43,0,1,2
1424,56,0,2,2
1425,65,0,2,3
1426,75,0,3,4
1427,93,0,4,4
1428,105,0,4,5
1429,113,0,5,5
1430,120,0,5,5
1431,123,0,5,5
1432,127,0,5,5
1433,130,0,5,6
1434,134,0,6,6
1435,143,0,6,7
1436,159,0,7,0
1438,7,0,0,0
1439,13,0,0,1
1440,23,0,1,1
1441,29,0,1,1
1442,36,0,1,2
1443,48,0,2,2
1444,60,0,2,3
1445,72,0,3,3
1446,77,0,3,4
1447,92,0,4,4
1448,106,0,4,5
1449,122,0,5,0
1451,15,0,0,1
1452,25,0,1,1
1453,37,0,1,2
1454,47,0,2,2
1455,53,0,2,2
1456,65,0,2,3
1457,75,0,3,3
1458,87,0,3,4
1459,95,0,4,4
1460,101,0,4,4
1461,105,0,4,0
1463,10,0,0,0
1464,16,0,0,1
1465,25,0,1,1
1466,32,0,1,1
